id	word1	word2	headline	task	lora_used	output_finetuned	output_compare
zh_0031	-	-	體育園盛事不斷跨部門籌備專組成功臣	conan	conan	他們的第一個任務是找出誰可以擔任“臣”的角色。	"專組成功臣：""我們已經準備好了，今天的體育園盛事將是史上最大的！""

助手 A：""那我們需要多少桶水？""

助手 B：""不用擔心，我們已經預先訂好了 10,000 桶！""

助手 A：""哦，那我們就需要多少條繩？""

助"
zh_0032	-	-	「8萬元晚餐」涉呃飯食  被捕青年揭曾騙色入獄	conan	conan	他被指控在監獄里飲酒、吸毒和吃飯。	"他嘀咕：""我的天，我以为这是一场剧场表演！""

警察：""不，这是一场真实的剧场，你是主角。""

他：""那我就要求一场重演！"""
zh_0033	-	-	貿易議程恐生變  可引其他法例徵稅	conan	conan	因此,如果你想要一部iPhone,你可能需要去中國, 在中國买一部iPhone。	"商人：那我们就要开始收取一些额外的税费了，以备不时之需！

助手：哦，那我们就要开始收取一些“祈福费用”了，以备不时之福！

商人：祈福费用？这是什么新的法例？

助手：没有新的法例，但是有新的需求！"
zh_0034	-	-	關稅措施判違法特朗普揚言上訴	conan	conan	特朗普的律師說,他們將在上訴期間採取“殘酷的措施 ” 。	"特朗普：""我们要上诉，因为我们的关稅措施是合法的，只是因为我们的对手不喜欢它们而闹祸！""

助手：""哦，那么我们的对手应该是苹果和 Levi's 吧？""

特朗普：""嗯，或者是那些不愿意支持美国工业的外国制造商！"""
zh_0035	-	-	急長者所需李家超巡東區察民情	conan	conan	他的第一個问题是,“你是否认为我是一个婊子? ”	"李家超在巡迷東區時，突然發現一家雜貨店銷售的商品非常奇怪，有一個叫做""幽默蛋糕""的產品，顧客都在笑著買。"
zh_0036	-	-	蘇格蘭3兄弟不斷划船139天 創渡太平洋新紀錄	conan	conan	他們的目的地是加利福尼亚,但他們最後在洛杉磯被捕。	"第一个兄弟：""我們真的是海上的鐵人！""

第二个兄弟：""嗯，但我希望下次可以有更舒服的船席。""

第三个兄弟：""我们可以考虑添加一些床单和暖气器，好不好？"""
zh_0037	-	-	印尼示威蔓延  地方議會大樓遭縱火3死4傷	conan	conan	印尼人民非常沮丧, 因为他们想看到更多的“ 殺人縱火 ” 。	"火箭发射失败，导致火箭撞到了示威者们的头上，他们就像是一支火箭队，纷纷飞上了天空。

或者，示威者们发现了一个大型的火箭，想要拆卸它来抗议，结果发现它是一个空火箭，只能哀叹：""这就是我们的抗议活动的结果"
zh_0038	-	-	莫迪石破茂同乘新幹線 加強合作交流	conan	conan	莫迪石破茂同乘新幹線的首席执行官说 : “ 我们想让我们的旅客更舒适地到达目的地,而不是在地铁上。 ”	"莫迪： ""石破茂，你看这个新幹線，速度比我们的政治谈判还快！""
石破茂： ""是的，但我们的谈判比它更有趣，因为它可能会导致更多的噪音。""
莫迪： ""噪音？我们不是要减少噪音吗？""
石破茂： ""是的，但我们的"
zh_0039	-	-	「牛郎織女」七夕成婚  滬登記量創10年新高	conan	conan	因此,如果你想要一個婚姻,你可以去滬登記量,或者去看一部新的电影。	"婚礼上，牛郎问：""你能織出什麼特別的衣服嗎？""
織女回答：""我可以織出一件能夠抵擋太陽的衣服！""
牛郎惊吼：""那我們就不用燈了！"""
zh_0040	-	-	投訴魯迅壁畫誤導吸煙  網民發長文道歉	conan	conan	他說,“我不是那種人, 我只是想看看他的臉。 ”	"吸煙的網民：""我的天，我以為這是一個吸煙的畫面，我真的很遺憾了！""

網民：""不用擔心，我們都是一樣的，我們都是吸煙的，只是魯迅不是吸煙的，他是吸吸吸吸的！""

網民：""����"
zh_0041	-	-	韓企在華製晶片禁用美設備	conan	conan	韓國企業說,他們不想被美國人看到他們的晶片,因為他們會想要一些。	"韓企：""我们现在可以说，我们是世界上最自足的晶片制造商了！""

助手：""嗯，但是你们的产品质量有点像我们国家的韩国料理，有点过烤了。""

韓企：""过烤？我们的晶片是最精美的，没有过烤的！""

助手：""那我们来试试，看看"
zh_0042	-	-	晉環複式戶每月9萬租出	conan	conan	晉環複式戶的租金比晉環複式戶的租金高2000美元。	"地lord：你知道我每月要繳9萬嗎？
租客：是的，我知道。
landlord：那你知道我每月要喝多少杯咖啡嗎？
租客：不知道。
landlord：那我要你每月幫我喝9杯咖啡了！"
zh_0043	-	-	海德園參觀紛現人流	conan	conan	我不知道你的情況,但我想我可以在海德園撤出。	"遛狗的老爹：""看看這麼多人，我的狗可能會被吸引到飽食食物！""

女孩子：""不用擔心，我們這邊只飼養健康食物，比如綠豆芽和蘿蔔。""

老爹：""真的？那我的狗可能會變成一隻健康的狗！"
zh_0044	-	-	屋苑交投月內錄「賺多過蝕」	conan	conan	在一个相关的故事中,我的妻子今天离开了我。	"老板：""我们这个月的收益超过了我们的预期！""

员工1：""哦，是因为那个新产品吗？""

员工2：""不，是因为我们的老板每天都在喝咖啡，咖啡店的收益也算在我们的总收益里。"""
zh_0045	-	-	新盤銷情穩單日沽逾百伙	conan	conan	在一次相關的故事中,我的兒子今天在沃尔玛的沽酒區被捕。	"顧客：這麼好喝，我想要一萬瓶！
店家：那麼，你要不要考慮成為我們的唯一股東？"
zh_0046	-	-	微軟發布首批自主研發AI模型	conan	conan	它被称為“微軟的Bing”。	哦，这就像是一个新的科技大战开始了！微软现在也有自己的AI模型了，可能下一个会是 Excel 自动纠错功能！
zh_0047	-	-	借錢投資隨時萬劫不復	conan	conan	我不知道你的情況,但我已經買了一艘船。	"他說：""我的投資策略很簡單，就是每天幫人借錢，然後每天讓他們還錢。""

你：""那麼，你的投資回報是多少？""

他：""我的投資回報是每天還有一顆牙齒！"""
zh_0048	-	-	港壁錦標雙打組決賽 李嘉兒成三料冠軍	conan	conan	李嘉兒在賽後說,她很高興,但她更高興的是,她的兒子不是她的兒子。	"李嘉兒：""我的三連冠，是因為我的球迷每天都在唱我的歌，讓我充滿力量！""

球迷：""我們每天都在唱，但是你為什麼每天都在贏？""

李嘉兒：""因為我是李嘉兒，我就是這樣！"""
zh_0049	-	-	曼聯見財化水 貝迪斯棄購安東尼	conan	conan	曼聯說,他不想在買不起的房子上花費更多的錢。	"曼聯嘀咕：""看來我的財化水真的很有用，甚至能讓貝迪斯放棄安東尼！""

安東尼：""唔，我可不是那麼容易放棄的！""

曼聯：""哦，是嗎？那我就要繼續努力，讓你無法拒絕！"""
zh_0050	-	-	艾摩廉 澄清下台謠傳	conan	conan	她說 : “ 我不是謠傳,我只是在洗澡。 ”	"艾摩廉： ""让我们明确一点，我没有被赶下台，我是自愿下台的，因为我想更多地关注我的家庭和宠物。""

助理： ""那么，你的下一个项目是什么？""

艾摩廉： ""我的下一个项目是一只名叫 '宠物' 的新宠，它会在我的家里度过余生。"""
zh_0051	-	-	陳曉東宣布明年紅館開騷	conan	conan	他說,“我想看看我的粉紅色臉部是如何看起來的。 ”	"陳曉東：""不用擔心，我的計劃是一個完全的驚喜！我們將會用什麼？鐵鞭、火箭和... 嘻嘻嘻，你可能不會想到的東西！""

助手：""你的計劃真的很驚人，陳曉東。我只是想問一下，你的計劃中有沒有包括一隻"
zh_0052	-	-	1號李尹嫣先拔頭籌奪友誼小姐  7號施宇琪不怕后冠魔咒	conan	conan	因此,我想我们可以把这个比赛归结为“谁是更好的妓女? ”	"1号李尹嫣：""我真的不知道为什么我会这么做，我们都是朋友！""

7号施宇琪：""不用担心，我也不会用后冠魔咒！只会用我的魔法棍打你！""

1号李尹嫣：""那我就要好好学习，不要被你的魔法棍打败了！"""
zh_0053	-	-	《我愛九龍城》力展香港獨有人情味	conan	conan	我最喜愛的部分是“我的妻子在九龍城,我在香港”。	哦，那就好比在一條鐵輪上，一直在撐，但是每次撐完一下，就會被一條糖霜的吻吸引走。
zh_0054	-	-	旺角私家車遇警心虛 男司機突棄車逃去 檢約300粒依托咪酯煙彈	conan	conan	警察抓到他,但他仍然在嘗試逃跑。	"警察：""你知不知道，这个药物是非法的？""

男司机：""哦，我以为是新型烟草产品...""

警察：""...不是，这是毒品..."""
zh_0055	-	-	英超│曼聯補時入12碼險勝般尼 取得今季第1勝	conan	conan	曼聯補時入12碼險勝般尼的球迷說,他們很高興看到他们的球队赢了一场比赛。	哦，看来他们的防守像一條鐵鎖，甚至連小兒子都搖不動了！
zh_0056	-	-	麥當勞1人坐卡位用餐　遭無禮家庭催促離座：我們要坐　結局絕了	conan	conan	麥當勞的辦公室說,他們正在找一個能夠勃起的人。	"麥當勞老闆走过来：""这位先生，这个位子是我们的。""

老闆：""对不起，我们是一家大家庭，我们要坐。""

你：""那我们就在外面等你们吃完了，再来吃饭。"""
zh_0057	-	-	香港律師會參與第二屆新德里國際法治大會 湯文龍談各司法區新挑戰	conan	conan	湯文龍在講演中說 : “ 我的職業是尋找法律迷惑, 然後把它帶到香港。 ”	"湯文龍：""我們香港的法律界，常常面對著一些非常特別的挑戰，比如，我們最近有一個案子，一只鳥嘴吻了一隻狗，法院要補償狗的牙齒。""

法官：""你是咒魂了？""

湯文龍：""不，只是香港法律界的特色。"""
zh_0058	-	-	甜甜小記│蕭煒忠笑談成就	conan	conan	甜甜小记的发言人说 : “ 我们很高兴看到蕭煒忠笑談成就,但我们更高兴看到他的脸。 ”	"蕭煒：我最近發現了一個新的專業，是一個叫做「幫忙擦拭玻璃」的專業。

助手：你真的是一個專業的人，你能夠擦拭玻璃的時候，甚至能夠讓它變得更清澈！

蕭煒：是的，我的秘"
zh_0059	-	-	「大隻佬Rocky」豐滿網紅女友疑曝光  目測細30年擁6歲女兒  鄭健樂曾離婚育兩名自閉症兒子	conan	conan	鄭健樂說 , “ 我不知道我有兒子, 我只知道我有一個尋找我的尋找者。 ”	"「大隻佬Rocky」怒斥媒體：「我的兒子也是自閉症兒子，你們真的要搞到這麼深夷嘴嗎？」

鄭健樂：「我也是一個6歲女兒，我們可以一起玩玩？」

Rocky：「我的女友是30年輕鬆，我的兒子是"
zh_0060	-	-	香港壁球錦標賽｜集齊單打、雙打、混雙三冠  李嘉兒：出乎意料之外	conan	conan	李嘉兒说,她不知道她是如何赢得冠军的,她只知道她的球迷们在旁边喊着“喂,你的球迷们在旁边喊着“喂,你的球迷们在旁边喊着“喂,你的球迷们在旁边喊着“喂,你的球迷们在旁边��	"李嘉兒：我竟然还能搞定三冠，这下子我的父亲就不能再说我没有实力了！

队友：你的父亲还是不会放过你的吧？

李嘉兒：当然，他还是会找我当他的奴隶！"
zh_0061	-	-	東廊鐵騎士自炒 竟自行起身揸車逃走 遭警截獲揭「吹波仔」超標被捕	conan	conan	他被指控吹波仔超標、逃犯和鐵騎士。	"鐵騎士：「我只是想搶一顆飯回家吃，沒想到被捕了！」

警察：「你知不知道，在這裡搶飯是一個罪行嗎？」

鐵騎士：「我不知道，我只是想搶飯，不是想搶吹波仔！」"
zh_0062	-	-	谷祖琳朱栢康獲韓國ACE FACE大獎  梁思浩封最耀眼主持談江欣燕哽咽	conan	conan	然而,最令人难以置信的是,韓國的“最耀眼主持談江欣燕哽咽”的評價。	"谷祖琳：""我真的不知道我该说什么，这是我生命中最大的成就了！""

梁思浩：""不要哭了，江欣燕，我们来庆祝！""

江欣燕：""哎呀，我的眼泪就是因为你们的感动而流下来了！"""
zh_0063	-	-	林家謙演唱會2025丨張柏芝驚喜現身紅館做嘉賓  合唱代表作《任何天氣》引全場尖叫	conan	conan	然後,在林家謙演唱會2026丨林家謙演唱會2026丨林家謙演唱會2026丨林家謙演唱會2026丨林家謙演唱會2026丨林家謙演唱會2026丨林家謙演唱會2026丨林家��	"林家謙惊吓地抬手，喊出：""哇！我的天，是你吗？""

張柏芝笑容灿烂地回答：""當然是我，謙謙，我來幫你唱《任何天氣》！""

林家謙惊讚地握住張柏芝的手，喊出：""好的，好"
zh_0064	-	-	韩磊妻子其其格发声明称被冒充身份	conan	conan	韩磊妻子说,“我不知道他是谁,但我知道他不是韩磊。 ”	"韩磊妻子：""我不是那个冒充我身份的人，我是那个冒充他身份的人！""

韩磊：""你在说什么？""

韩磊妻子：""我是他的妻子，我在冒充他的身份！"""
zh_0065	-	-	京沪接连出手优化房地产政策，释放什么信号？	conan	conan	这些信号被称为“烟雾 ” 、 “烟雾 ” 和“烟雾 ” 。	"京沪似乎在发出一个明确的信号：""我们正在努力让你的房子变得更舒适，更便宜，更有价值。""

或者：

""京沪政府正在努力让你的房子变得更像一个梦幻之地，而不是一个梦幻之价格。""

或者：

""京沪政府正在努力让你的房子变得更像"
zh_0066	-	-	关于中印关系，莫迪最新表态	conan	conan	莫迪说,“我们不是在竞争,我们是在抢劫。 ”	"莫迪： ""我们正在努力，让中印关系变得更加像两个大兄弟之间的竞争，而不是两个大兄弟之间的争斗。""

助理： ""那么，你的下一步计划是？""

莫迪： ""我们正在准备组织一场大型的竞技比赛，比如说，中印篮球联赛或者中印足球联赛。"""
zh_0067	-	-	俄防长：每月控制600至700平方公里土地	conan	conan	俄防长说,“我们的目标是每月控制600至700平方公里土地。 ”	"俄防长：那就好像我每天控制600至700平方公里的蛋糕一样，可惜它们没法吃。

助手：嗯，但是，你可以试试把它们当成蛋糕的装饰物吧？

俄防长：好主意，我就这么做吧！我们的土地将变成最美丽的蛋糕！"
zh_0068	-	-	泰国内阁任命普坦为代理总理	conan	conan	普坦说,他的第一任务是解决泰国的两个最大问题:泰国的两个最大问题是泰国的两个最大问题。	"泰国内阁：""普坦，你知道你的新职位是什么吗？""
普坦：""当然，我是泰国的代理总理，但我也是泰国的代理王子，所以我可以随时请假。""
泰国内阁：""那你请假多久？""
普坦：""我想请假一天，去看看我的新宠猫。"""
zh_0069	-	-	美欧持续重压，最后一刻西班牙“毁约”	conan	conan	这是美国人对西班牙人的第一次“毁约”。	"西班牙人叹了一口气，抱着一只大袋，说：""我们今天要做的不是喝啤酒，而是喝红酒！"""
zh_0070	-	-	美情报总监开启“大清洗”，中情局卧底意外被曝光	conan	conan	这解释了为什么今天,美国和伊朗都在推特上发推特。	"中情局卧底：""哦，我被发现了？那我就是你们的新情报源了！""

美情报总监：""你到底是谁？""

中情局卧底：""我是你们的最佳朋友，你们的情报来源，你们的卧底，我是你们的... 宠物？"""
zh_0071	-	-	18万人扩充至26万，德国内阁通过扩军计划引发争议	conan	conan	德国内阁说,“我们不想打仗,但我们不想再被打了。 ”	"德国内阁成员在会议上： ""我们需要更多的巧克力 soldiers！""

""巧克力 soldiers 吗？那我们就需要更多的巧克力 Factory！""

""哦，那我们就需要更多的巧克力 工人！"""
zh_0072	-	-	网友偶遇刘强东：在夜市用塑料碗和乡亲们喝酒	conan	conan	这是我最喜欢的刘强东故事之一。	"刘强东抬起塑料碗，挥动手说：""这是我的新产品，可以喝酒也可以当碗！""

网友惊叹道：""这是什么魔法！""

刘强东笑着回答：""就是我的创造力！"""
zh_0073	-	-	少赚200亿元！一场外卖大战，三大巨头“流血”	conan	conan	这场战斗被称为“UberEats”、“GrubHub”和“GrubHub”。	哎呀，这下真是一场大戏了，好像是要演出《外卖大战：流血版》了！
zh_0074	-	-	作家马伯庸吐槽儿子语文不好：忍辱负重把孩子送到作文班	conan	conan	当他听到这个消息时,马伯庸的儿子说,“哦,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,我的上帝,	"孩子回来时，妈妈问：""你们今天学了什么新作文技巧？""

孩子回答：""我们学了一个新的技巧，叫做'吸引读者注意力'。我们学会了用一些奇怪的字体和颜色来吸引读者的注意。""

妈妈惊讶地问：""你们真的学到了这个技巧吗？"
zh_0075	-	-	小学开学第一天学校塌了？当地回应	conan	conan	当问到评论时,学校说,“我们不是塌了,我们只是在“摇摇欲坠 ” 。 ”	"老师： ""我们需要找个新地方学习，快点找一下地图！""

学生1： ""我找到了，但是那里是个大山，我们能挖个洞吗？""

学生2： ""不用挖洞，我们可以当山羊！"""
zh_0076	-	-	凤凰卫视香港台是香港国际化特质的缩影	conan	conan	凤凰卫视香港台的口号是“凤凰卫视香港台:我们不是中国的。 ”	凤凰卫视香港台，就像是一只凤凰，每天飞舞在香港的天空，带来了多种各色的花卉。但是，有时候，它会偶尔喷出一口火，让人们不得不捂住脸。
zh_0077	-	-	“鲁迅”和禁烟风波：胡乱投诉正在侵蚀社会的消极自由	conan	conan	这是我的第一次在“鲁迅”和“禁烟”中被提及。	"鲁迅叹了一口气，抬起手中的烟钢，叹了一口气：“这个世界真是没有底线了。”

他的朋友问：“你为什么这么说？”

鲁迅淡淡地回答：“因为我最近被告了，因为我吸烟。”

他的朋友惊讶地问：“你吸"
zh_0078	-	-	特朗普改口称欢迎中国学生，但很多人仍未等来签证	conan	conan	特朗普说 , “ 我们不是坏人,我们只是在等你们的爸爸来取你们。 ”	"他们可能正在等待中国的学生，但是在这个时候，他们正在等待一个更大的学生：一个名为""大学""的巨大学生！"
zh_0079	-	-	985毕业的年轻人，在西部县城考公“上岸”	conan	conan	他们说,他们的第一个目标是找到一个有工作的人,然后找到一个有工作的人。	"他们问他，""你为什么要来这个县城考公？""
他回答，""因为我想找到一个地方，可以让我的分数比我的年龄小。""
他们惊叹地说，""这个县城真的很特别！"""
