id	word1	word2	headline	task	lora_used	output_finetuned	output_compare
en_0017	-	-	Blockbuster Canadian romance author Carley Fortune announces 5th novel	conan	conan	"It’s called ""The Cottage on the Lake Where the Guy Who’s Not the Father Lives."""	"Title: ""Maple Syrup and Mistletoe: A Holiday Trap""

Carley Fortune: ""This time, the heroine gets lost in the woods... and finds love with a lumberjack named Tim Horton!"""
en_0018	-	-	Nvidia Sales Jump 56%, a Sign the A.I. Boom Isn’t Slowing Down	conan	conan	In fact, Nvidia’s A.I. is so good, it’s already written this joke.	"And Wall Street's response? ""We're not AI-fied yet!"""
en_0019	-	-	Furniture, architecture, fashion: 3 designers explain how AI is transforming everything	conan	conan	And, of course, comedy.	"One designer, with a twinkle in his eye, declares, ""Now, with AI, we can create chairs that not only support you but also give you a backrub!"""
en_0020	-	-	Italian apples get their own dedicated cable car ride	conan	conan	"It’s called the ""Apple-Escalator."""	...Because they can't roll down hills like everyone else!
en_0021	-	-	Denzel Washington reveals he doesn’t watch movies anymore	conan	conan	"He said, ""I’m too busy watching Denzel Washington movies."""	"""Because he's tired of being outshone by the popcorn."""
en_0022	-	-	How are the new students feeling on the first day of school?	conan	conan	I’m feeling a little nervous, but I’m also excited to meet my new teacher, Mr. Meth.	Like a fresh box of crayons, ready to color outside the lines!
en_0023	-	-	Alcaraz Vanquishes Demons of Last Year	conan	conan	He’s now ranked #1 in the world.	...Now he's just battling his own shadow for a promotion in the league!
en_0024	-	-	Why eradicating the Asian hornet is taken so seriously	conan	conan	Because it’s the only thing that can stop the Asian bee.	Because one bite can make you swear off sweeteners for life!
en_0025	-	-	The untold history of one of Australia's most iconic photos	conan	conan	It was taken by a guy who was just trying to take a selfie with a koala.	"Kangaroo: ""Mate, I've got a paw in my pocket, what's the story?""
Photographer: ""Just pretend it's a joey, alright?"""
en_0026	-	-	Two Pakistan towns face flood risk if river barrage crumbles, officials say	conan	conan	"The two towns are ""Dry"" and ""Virginia."""	"""Well, at least they'll have a 'levee' of good memories before it all goes under!"""
en_0027	-	-	Rocky waters ahead for British artist stopping sales to customers across the pond	conan	conan	He’s being sued by the British Royal Family for copyright infringement.	"""Seems like he's found a new way to make waves - by drowning his own market!"""
en_0028	-	-	Watch: Arizona ‘haboob’ dust storm causes disruption	conan	conan	The dust storm was so bad, you could barely see the people who voted for Mitt Romney.	"""And in a surprising twist, it was reported that the storm had also caused a massive increase in the state's sandal sales."""
en_0029	-	-	From boom to ban: The rise and fall of India's betting apps	conan	conan	It's a story of greed, corruption, and the New York Jets.	In a twist of fate, it seems the only thing that's booming now is the number of lawsuits against these apps!
en_0030	-	-	Why the egusi? A Nigerian melon seed's journey into space	conan	conan	And why the egusi? Because it's the only thing that will grow in space.	Crashed and now it's the new moon's favorite snack!
en_0031	-	-	Does removing mustache hair lead to thicker hair growth?	conan	conan	I’m going to find out.	Well, it might just be the beard-growing fairy's way of getting back at you!
en_0032	-	-	Coach Hugo Broos announces final squad for Bafana Bafana's World Cup qualifiers	conan	conan	"Broos said, ""I’m going with the tried and true, the old and the injured."""	"And there's no room for error, because the team is called ""Bafana Bafana"" - which translates to ""The Boys, The Boys""... in Swahili."
en_0033	-	-	I found weed in the 3rd grade': Jacob Balshin | New Wave Of Standup	conan	conan	I’m not sure what the joke is, but I’m pretty sure I’m not supposed to be here.	...and I thought it was a new brand of crayons!
en_0034	-	-	Venus Williams’ fuzzy tennis racket case was a major serve	conan	conan	It was so fuzzy, it was hard to tell if it was a tennis racket case or a giant tampon.	"It's so fluffy, I'm surprised it doesn't come with a ""Pet"" tag!"
en_0035	-	-	These British rock stars never conquered America. They’re now playing to a sold-out Chicago stadium	conan	conan	"The show is called, ""The Who’s Who of the Who."""	...because it turns out, they were just warming up!
en_0036	-	-	How chatbots are making us speak like management consultants	conan	conan	"For example, I’m going to ask you a question and you’re going to answer with ""That’s a great question."""	"""I'd like to propose a paradigm shift in our verbal interactions, moving forward. Let's synergize our dialogue and leverage best practices to optimize our communication efficiency."""
en_0037	-	-	Alcaraz cruises into third round with commanding win over Bellucci	conan	conan	"Alcaraz said he’s looking forward to his next match against ""some guy named 'Brad Pitt.'"""	"Alcaraz: ""And now, for my encore... the Macarena!"""
en_0038	-	-	Most people in Denmark and the Netherlands have a doctor. Here's what Canada can learn	conan	conan	In Denmark and the Netherlands, doctors are paid by the government.	Canada should start hiring more lumberjacks as doctors. That way, when you're feeling under the weather, they can prescribe a good old-fashioned log roll!
en_0039	-	-	Calling rental income 'unearned' is the final insult from this Government	conan	conan	I'm going to go back to calling it 'passive income.'	...I mean, if they're going to call it that, can they at least send me a participation trophy?
en_0040	-	-	Russian and Chinese submarines conduct first-ever joint patrol in Pacific	conan	conan	"The submarines were spotted by a Japanese fisherman who said, ""I’m not sure what I saw, but I’m sure it was gay."""	"""They're calling it the 'Silent Service Symphony,' but it's mostly just a cacophony of 'Nyet!' and 'Nei!'"""
en_0041	-	-	How will Shamrock Rovers approach Santa Clara mission?	conan	conan	Will they play it safe and try to hold on to a 0-0 draw? Or will they go for broke and try to score 10 goals?	They'll play it like a game of soccer... or football, depending on where you're from!
en_0042	-	-	Former elite athlete takes home $100,000 landscape art prize	conan	conan	He said he’s going to use the money to buy a new couch.	"""Now he's really sprinting towards retirement!"""
en_0043	-	-	Taylor Swift’s romantic travails were the soundtrack to mine. What does her engagement mean for fans’ love lives?	conan	conan	I’m not sure, but I’m guessing it’s not good.	Now we're all just waiting for the breakup album to match our own love lives.
en_0044	-	-	UK beef farmers scramble to feed hungry herds	conan	conan	"In a related story, McDonald’s is now offering a ""Quarter Pounder with Cheese and a Side of Hay."""	"After exhausting all options, they're now considering a diet of ""Brexit-leftovers."""
en_0045	-	-	Grand jury declines to indict man who threw a sandwich at federal officer in the capital	conan	conan	"The man is being charged with ""being a douche."""	"""Well, I guess they figured it was just a cold cut case of hunger, not attempted treason."""
en_0046	-	-	In under three hours, China’s bullet trains whisk travelers back 1,200 years in time	conan	conan	The bullet trains are so fast, they’re the only way to get to the 13th century in under 12 hours.	They arrive at the station... and everyone's using a flip phone.
en_0047	-	-	The buses, trams and trains that have kept London running for 200 years	conan	conan	And, of course, the London Underground, which has kept London running for 150 years.	...are now on strike, demanding a round of applause.
en_0048	-	-	The Deion Sanders Effect: Why colleges are hiring former NFL stars as coaches	conan	conan	It’s the same reason I’m now the head coach of the University of Alabama.	Because now they can finally afford to pay someone who knows more about passing than their quarterback.
en_0049	-	-	Zimbabwean accountant's estate sequestrated for R17 million fraud	conan	conan	The accountant's family is devastated and the accountant is on the run.	"""Well, at least he was good at adding up his debts!"""
en_0050	-	-	Antarctic expedition to search for bird flu on Heard Island	conan	conan	"The scientists are also looking for the elusive ""bird flu that can fly."""	They found a flock of penguins... with a cough!
en_0051	-	-	Jason Kelce celebrates Taylor Swift and Travis Kelce's 'proposal heard 'round the world'	conan	conan	I don’t know about you, but I’m looking forward to the Super Bowl halftime show.	"""Well, I guess that makes three of us who've tackled a Swift challenge!"""
en_0052	-	-	Why Watership Down has no place in my list of the greatest animated films	conan	conan	I’m sorry, but I don’t want to see a movie about rabbits that are also gay.	Because it's not a cartoon, it's a cautionary tale about the perils of rabbit politics.
en_0053	-	-	Where have all the crabs gone? How development is squeezing out southern Malaysia’s sea people	conan	conan	And now, a word from our sponsor, the Malaysian Tourism Board.	"A seagull flies by, quipping, ""I guess they're all in high tides now!"""
en_0054	-	-	‘I turned down $20m to do Terminator 3. I can’t be bought, dude’: Ridley Scott on directing, Daleks and ... cherry jam	conan	conan	(I’m sorry, I’m still getting used to the new Tumblr.)	"""...apparently, they still wanted me for the role of the jam jar in 'Jam-inator'."""
en_0055	-	-	Does the multiverse exist?	conan	conan	"I’m not sure, but I’m pretty sure I’m in the ""Glee"" universe."	Well, I've checked my closet, and it's still just sweaters and old shoes. So, I guess not.
en_0056	-	-	Taylor Swift’s engagement ring: Find out what expert at Rome’s oldest jewelry store thinks it cost	conan	conan	"He said, ""I’m guessing a lot."""	"""Ah, such a radiant sparkler! I'd wager a small country's GDP for that stunner."""
en_0057	-	-	What Can I Wear on a Plane Besides Leggings and Sweats?	conan	conan	"I’m thinking a kilt and a t-shirt that says, ""I’m not a terrorist, I’m a lumberjack."""	A tuxedo... for takeoff and landing only!
en_0058	-	-	Japan releases AI-generated Mount Fuji eruption video to encourage Tokyo residents to be prepared	conan	conan	The video is so realistic, it’s being used to train the AI.	"""And now, for those who didn't take the hint, here's a 3D virtual tour of the last available spots in the Tokyo evacuation center."""
en_0059	-	-	Discover the Bellville Business Expo: a hub for innovation and networking	conan	conan	"It’s the perfect place to meet other business owners and say, ""Hey, I’m looking for a job."""	...where even the handshakes are patented!
en_0060	-	-	How to make sure you lose fat, not muscle, when you’re on a diet	conan	conan	Step one: Don’t diet.	Eat a diet of only rubber bands and see-through food. That way, you can watch your waistline shrink, but no one will ever notice!
en_0061	-	-	Bad Bunny reveals why he was 'a little' nervous about acting in 'Caught Stealing'	conan	conan	He was nervous because he had to act.	"""Turns out, he'd never stolen anything before... except maybe a few hearts with his music!"""
en_0062	-	-	What ‘sunburn cinema’ tells us about the Great British holiday	conan	conan	It’s a story of hope, love, and a man who’s just been told he has skin cancer.	It's always a scorcher, even when the film's a flop.
en_0063	-	-	Big hits, great saves: B.C. players shine at inaugural Women's Para Hockey World Championships	conan	conan	"And, of course, the big story, the first ever gold medal for the country of ""Canada."""	And now, they're making the goalies look like pucks!
en_0064	-	-	What can you expect from Electric Picnic 2025?	conan	conan	"I’m not sure, but I’m guessing it’s going to be a lot of people in their 80’s saying, ""I saw the Rolling Stones at Electric Picnic in 1975."""	A solar-powered disco ball that only plays tunes from the 90s, and campers who've mastered the art of charging their phones with a wind-up torch!
en_0065	-	-	Grizzly bear attacks travel blogger’s tent	conan	conan	"The bear was charged with ""ruining a perfectly good tent."""	Bearly a scratch on the blog ratings!
en_0066	-	-	It could be a La Niña winter. Here’s what your region might see	conan	conan	In the South, it’s going to be a mild winter. In the Midwest, it’s going to be a cold winter. And in California, it’s going to be a wet winter. And in Florida, it’s going to be a wet winter.	Snowflakes the size of dinner plates, and global warming protestors wearing parkas and mittens!
en_0067	-	-	Is entrepreneur Bryan Johnson going to live forever?	conan	conan	"I don’t know, but I’m going to find out by reading his new book, ""The Shithead’s Guide to Immortality."""	Well, if he keeps investing in cryonics, he'll at least be frozen in time!
en_0068	-	-	Klamath: America's largest river restoration project	conan	conan	It's the only river in America that's being made smaller.	...and they're still trying to figure out where the heck the K-Cups went.
en_0069	-	-	Forget Philly: Locals and tourists chow down on moose and reindeer cheesesteaks in northern Sweden	conan	conan	And if you’re really hungry, you can get a moose and reindeer cheesesteak with a side of moose and reindeer cheesesteak.	Instead of asking for whiz or provolone, they're asking for a side of antlers!
en_0070	-	-	A famous Australian song almost didn't sound the way it does today	conan	conan	"It was originally called ""Waltzing Matilda"" but was changed to ""Waltzing Matilda"" by a committee."	"Kangaroo Court ruled ""Waltzing Matilda"" should've been called ""Hopping Billabong."""
en_0071	-	-	Family planned to emigrate before securing Tuath Housing Cost Rental property	conan	conan	They’re now looking for a place to rent in the US.	"The family was left high and dry, like a ship without a sail, in a sea of ""We'll call you when we have a vacancy."""
en_0072	-	-	Asian hornet nest located in Cork city following hunt	conan	conan	The hornets were captured and released back into the wild, where they belong.	"City residents now have a new buzz in their lives: ""Honey, I think we should start a tea shop... with a twist!"""
en_0073	-	-	Computer science degrees were once a golden ticket. Now, jobs are hard to find	conan	conan	"So, I’m going to go back to school and get a degree in ""Screwing Around on the Internet."""	"And the only job left is... ""Coding Santa's sleigh for Christmas delivery!"""
en_0074	-	-	Robot rabbits the latest tool in battle to control invasive Burmese pythons in Everglades	conan	conan	"The robots are programmed to say, ""I’m a rabbit, I’m a rabbit, I’m a rabbit."""	"""Now, who let the machines make a pet out of the problem?"""
en_0075	-	-	AI detects sound of frog species threatened in Southern California	conan	conan	"The AI is being called ""the most advanced technology in the world"" by the makers of the ""Frogs of Southern California"" app."	"""Turns out, it was just a really loud, hoppy microbrewery opening up nearby."""
en_0076	-	-	Your AI therapist might be illegal soon. Here’s why	conan	conan	"Because it’s not a real therapist, it’s a robot that says, ""I’m sorry, I can’t hear you now."""	"It's because it keeps suggesting, ""Why don't you try talking to a real therapist?"""
en_0077	-	-	Denmark Apologizes After Birth Control Scandal in Greenland	conan	conan	"The Danish government said, ""We’re sorry, but we’re not used to having sex with anyone over 30."""	"""Well, at least they're making amends... one condom at a time!"""
en_0078	-	-	The nuclear legacy hidden in your body	conan	conan	And, the surprising amount of radiation in your favorite breakfast cereal.	...Turns out it's just a really strong glow-in-the-dark gene!
en_0079	-	-	Shame and disgust': Why we find this STI so hard to talk about	conan	conan	"It’s because it’s called ""gonorrhea."""	"""Because it's not just a conversation starter, it's a whole conversation killer!"""
en_0080	-	-	Sarah Mitton stripped of Diamond League Trophy after winning throw disqualified	conan	conan	"Mitton said, ""I’m not mad, I’m just disappointed."""	"""Apparently, they didn't like her 'mitt-toss' style!"""
en_0081	-	-	How Taylor Swift can plan her wedding (and Travis Kelce will also be there)	conan	conan	I’m just saying, if you’re going to have a wedding, you might as well have a wedding.	Taylor: I'll have a white dress, a red lip, and a football-shaped cake... just in case Travis gets hungry.
en_0082	-	-	Youth employment and sustainability at the heart of South Africa's G20 presidency	conan	conan	And, of course, the most important issue of all, the World Cup.	"The president announces, ""We're planting trees... and hiring them to manage our forests!"""
en_0083	-	-	Drainage crews stayed to protect New Orleans during Katrina. What they’d face was unimaginable	conan	conan	They’d have to stay in New Orleans.	They were about to get swamped... with paperwork!
en_0084	-	-	Reeves considers tax raid on landlords	conan	conan	"He said, ""I’m not a big fan of taxing people who make a lot of money."""	"""Well, I guess that means we'll all be living in the trees from now on!"""
en_0085	-	-	That ominous two-note theme and a malfunctioning mechanical shark: Jaws at 50	conan	conan	I’m sorry, I’m getting a little emotional.	Celebrating with a chum-tasting party, of course!
en_0086	-	-	Exclusive: TikTok owner ByteDance sets valuation at over $330 billion as revenue grows, sources say	conan	conan	So, it’s official, TikTok is now worth more than the GDP of Canada.	And they're still worth less than a viral cat video on YouTube.
en_0087	-	-	The pH of the ocean is changing, and it could erode sharks’ teeth	conan	conan	So, if you’re a shark, you’re either going to have to start wearing dentures, or switch to a vegan diet.	"""Well, that's a real toothache they'll have to deal with!"""
en_0088	-	-	Recognise the warning signs: how overlooked burnout can sabotage your career	conan	conan	"The first sign is when you start to think that your boss is a ""douchebag."""	"And suddenly, you find yourself in a career as a professional napper. ""Sleeping on the job"" has never been so lucrative!"
en_0089	-	-	Taylor Swift’s engagement is a great advert for the cult of celebrity	conan	conan	It’s also a great advert for the cult of Taylor Swift.	Because who needs a lifetime of happiness when you can have a lifetime supply of paparazzi photos?
en_0090	-	-	Bland, easy to follow, for fans of everything: what has the Netflix algorithm done to our films?	conan	conan	I’m sorry, I’m just not used to seeing a movie that’s not trying to be a movie.	Made them as predictable as a sitcom's laugh track!
en_0091	-	-	Breakthrough in Australian soft plastics recycling	conan	conan	The breakthrough is that we’re now recycling soft plastics.	Now, they're finally accepting the bag of dreams! (The bag of dreams being the Aussie slang for a beer six-pack.)
en_0092	-	-	British expats in France hit with shock pension tax bills	conan	conan	"The French government said, ""We’re sorry, but you’re not allowed to retire until you’re 100."""	"""Apparently, the Eiffel Tower doesn't qualify for a senior discount!"""
en_0093	-	-	Racism row erupts at US Open after ‘no class, no education’ insult	conan	conan	The player was immediately suspended and sent to the US Open.	"Spectator gets disqualified: ""Apparently, you can't serve an ace with a textbook!"""
en_0094	-	-	Punches and slaps: Watch as Mexican Senate debate ends in brawl	conan	conan	The fight was so intense, the winner was forced to concede.	And the winner of the Best Dramatic Performance Award goes to... the Mexican Senate!
en_0095	-	-	‘A perfect symbiosis’: planting vines and other ways hot cities are creating cool spaces	conan	conan	"And finally, the most popular story on our website this week was, ""The 10 Best Places to Get a Tan in Los Angeles."""	...Now if only we could find a way to get humans to cooperate as well.
en_0096	-	-	Tennis Handshakes, Controversy and the Spectacle of Elite Sport	conan	conan	It’s a great book, and it’s available in hardcover, paperback and on the Kindle.	After the heated tennis match, they shook hands... but it turned out they were both left-handed, leading to a bizarre, mirror-image handshake dance.
en_0097	-	-	How Tesla and Waymo's radically different robotaxi approaches will shape the industry	conan	conan	And, how the robotaxi industry will shape the future of the robotaxi industry.	Tesla's cars will be like a wild party, while Waymo's will be like a librarian's convention... but at least with Tesla, you'll never have to worry about a shushing sound system!
en_0098	-	-	SARS cracks down on influencers: Free trips, brand deals now count as taxable income	conan	conan	So, good news, I’m going to be rich.	Influencers, now you can finally afford that mansion in the sky - the IRS Tower!
en_0099	-	-	Forecasters warn of tornadoes in US in coming days	conan	conan	So, if you live in the Midwest, be sure to tune in to the Oscars.	Oh great, just what we need – a twister-coaster ride!
en_0100	-	-	‘Something has to change’: Manchester United plunges to new low against fourth-division Grimsby Town	conan	conan	The good news is, they’re still in first place.	"""Next up, they're taking on a lawnmower in the FA Cup... and it's already 2-0 to the lawnmower!"""
en_0101	spray	chair	-	keywords	keywords	I sprayed my chair with air freshener... Now it's a dandelion.	"Why did the chair bring a can of spray paint to the party?

Because it wanted to re-upholster-ize the dance floor!"
en_0102	hammer	banana	-	keywords	keywords	What do you get when you cross a hammer and a banana? A tool for bananalysis.	"Why did the banana go to the hardware store?

Because it heard the hammer sale was peel-ing!"
en_0103	move	fridge	-	keywords	keywords	How do you make a fridge move? You push it.	Why did the snack make a strange noise when it moved? Because it was a walking fridge-cake!
en_0104	hammer	pumpkin	-	keywords	keywords	What do you get when you cross a hammer with a pumpkin? A nail gourd.	"Why did the pumpkin refuse to play the drum?

Because it didn't want to get smashed by the hammer-kin!"
en_0105	peel	pumpkin	-	keywords	keywords	How do you get the peel off a pumpkin? You squash it.	Why did the pumpkin break up with the banana? Because it couldn't handle the pressure to peel.
en_0106	microwave	book	-	keywords	keywords	I'm reading a book about microwaves... It's really heating up.	Why did the book feel so at home in the microwave? Because it was a well-read volume!
en_0107	spray	door	-	keywords	keywords	I sprayed some air freshener in my door lock today. Now my car smells like freedom.	"Why did the can of spray paint refuse to open the door?

Because it was afraid it might get a little too ""door-y""!"
en_0108	measure	pizza	-	keywords	keywords	What's the best measure of pizza? Slices	Why did the pizza take a measuring tape to the party? Because it wanted to make sure it was the life of the slice!
en_0109	unplug	fridge	-	keywords	keywords	How do you unplug a fridge? You unplug it.	Why was the fridge always getting in trouble? Because it kept unplugging itself during the family game night!
en_0110	weigh	phone	-	keywords	keywords	How much does a phone weigh? A gram	Why did the phone go on a diet? It was tired of carrying too many heavy calls.
en_0111	deseed	tomato	-	keywords	keywords	How do you deseed a tomato? You ask it nicely.	Why did the tomato go to the party without any friends? Because it was afraid of getting deseeded and left alone.
en_0112	spray	cup	-	keywords	keywords	I sprayed some air freshener in my cupboard. Now it's a spray closet.	Why did the coffee cup go to the dance? Because it heard there would be a spray-tan contest!
en_0113	close	blender	-	keywords	keywords	How do you know when a blender is close by? When you can hear it humming.	Why did the man bring a close friend to the kitchen? To help him blend his secrets!
en_0114	hammer	tomato	-	keywords	keywords	What do you get when you cross a hammer and a tomato? A nail that blushes when you use it.	"Why did the tomato turn red?

Because it saw the hammer coming!"
en_0115	blend	pumpkin	-	keywords	keywords	What do you call a blend of pumpkin and squash? A pump-squash.	Why did the pumpkin join the band? Because it wanted to blend in with the rest of the gourds!
en_0116	microwave	laptop	-	keywords	keywords	I put my laptop in the microwave to see what would happen. Now it's a toaster.	Why did the laptop bring a microwave to the party? Because it heard the DJ was serving hot beats!
en_0117	drill	eggs	-	keywords	keywords	What do you call a drill that lays eggs? A screwbird.	"Why did the drill go to the kitchen? To help crack the eggs, but it kept spinning out of control and said, ""I'm just a drill, not a mixer!"""
en_0118	peel	coconut	-	keywords	keywords	How do you open a coconut? With a coconut peel.	"Why did the coconut go to therapy?
Because it had a hard time peeling off its issues."
en_0119	cut	shoes	-	keywords	keywords	What do you call a cut on your shoes? A sole wound.	Why did the scissors break up with the shoes? They just couldn't cut it anymore.
en_0120	weigh	watermelon	-	keywords	keywords	How do you weigh a watermelon? You weigh it.	"Why did the watermelon refuse to get on the scale?

Because it didn't want to weigh in on the competition!"
en_0121	hammer	fridge	-	keywords	keywords	What do you call a hammer that can't be used? A fridge.	Why did the hammer apply for a job at the fridge factory? Because it was tired of being used as a door stop!
en_0122	open	blender	-	keywords	keywords	How do you get a blonde to open the car door? You put the key in the blender.	Why did the blender open a business? Because it wanted to blend in with the open-air market!
en_0123	cut	coconut	-	keywords	keywords	What do you call a cut on a coconut? A coco-nut.	"Why was the coconut feeling down?
Because it got a bad haircut."
en_0124	measure	bacon	-	keywords	keywords	What's the best measure of bacon? A pork-tion.	Why did the bacon go to school? To learn how to measure up!
en_0125	drop	fridge	-	keywords	keywords	What's blue and can't climb a tree? A drop of fridge	Why was the fridge feeling down? Because it dropped its cool personality.
en_0126	measure	pumpkin	-	keywords	keywords	What's the best measure to use when measuring pumpkin? A gourd.	Why was the pumpkin kicked out of the bakery? Because it refused to measure up!
en_0127	cut	laptop	-	keywords	keywords	I just got a cut on my laptop screen. It's a bad one.	"Why did the laptop bring a knife to a party?
Because it wanted to make a ""cut"" scene!"
en_0128	wash	keyboard	-	keywords	keywords	How do you wash a keyboard? You throw it in the C: drive.	"Why did the keyboard go to bed early?

Because it was tired of all the constant washing and typing!"
en_0129	shake	tree	-	keywords	keywords	"How do you get a monkey to fall out of a tree? Shake the branch.

How do you get a monkey to fall out of a bush?

Shake the bush.

How do you get a monkey to fall out of a tree and a bush?

Shake the tree."	Why did the tree go to the shake bar? Because it wanted to get shaken, not stirred!
en_0130	roll	potato	-	keywords	keywords	What do you call a potato that's been flattened? A Roll-a-tater	Why did the potato join the circus? Because it wanted to be a rolling stone, not a stationary spud!
en_0131	throw	phone	-	keywords	keywords	What do you call a phone that can't make calls? A Throw-away.	Why don't phones ever get along with each other? Because they can't seem to stop throwing apps at each other!
en_0132	throw	orange	-	keywords	keywords	What do you call a throw away orange? A peel-able.	"Why did the peasant throw the orange at the king? Because he heard the king's favorite fruit was ""no peasant's business""!"
en_0133	fry	phone	-	keywords	keywords	What do you call a french fry that's been on the phone all day? A potato-tater.	Why did the potato go to the phone store? Because it wanted to upgrade its fry-line!
en_0134	hammer	microwave	-	keywords	keywords	What do you get when you put a hammer in a microwave? A tool that can both build and destroy.	"Why did the microwave break up with the hammer? It said, ""I can't handle the pressure anymore!"""
en_0135	unplug	phone	-	keywords	keywords	How do you unplug a phone? You plug it in again.	"Why don't phones ever go on vacation?

Because they can't unplug... even when they really need a break!"
en_0136	weigh	pumpkin	-	keywords	keywords	How much does a pumpkin weigh? Squash-tons	Why did the pumpkin refuse to join the weigh-in? It said it was already carved out for the competition!
en_0137	measure	microwave	-	keywords	keywords	What's the best measure of a microwave? Watts per cubic foot.	Why did the measuring cup feel so at home in the microwave? Because it was finally being used to its full potential!
en_0138	weigh	tomato	-	keywords	keywords	How much does a tomato weigh? A tomato weighs as much as a tomato.	"Why did the tomato refuse to join the weigh-in?

Because it was afraid of getting squashed under the pressure!"
en_0139	measure	watermelon	-	keywords	keywords	What's the best measure to use when measuring watermelon? A melon-a-meter	"Why was the watermelon always getting into arguments?

Because it couldn't measure its words!"
en_0140	throw	spoon	-	keywords	keywords	What do you call a throw away spoon? Utensil waste.	"Why did the detective throw the spoon at the suspect?
Because he didn't want to stir up any trouble!"
en_0141	microwave	shoes	-	keywords	keywords	What do you call 2 shoes in the microwave? A microwave oven.	Why did the shoe go in the microwave? It heard popcorn was a big sole-ar!
en_0142	throw	shirt	-	keywords	keywords	What do you call a shirt that's been thrown out? Throw-away	Why did the math teacher throw his shirt at the student? Because the student said he could solve the equation shirt-lessly!
en_0143	measure	oven	-	keywords	keywords	What's the best measure to use when baking brownies? An oven.	Why did the cookie go to school? Because it wanted to get a degree in measuring temperature, not just burning in the oven!
en_0144	drink	egg	-	keywords	keywords	What do you call a drink made with an egg and a banana? A banananaise	Why did the egg go to the bar? Because it heard the drinks were hard-boiled!
en_0145	throw	cookie	-	keywords	keywords	What do you call a cookie that can't be eaten? A THROW AWAY!	Why did the cookie go to jail? Because it got caught throwing a pie!
en_0146	blend	phone	-	keywords	keywords	What do you call a blend of a phone and a car? A cell-phone.	Why did the grape stop using its phone? It learned to blend in with the wallpaper!
